form_position,item_id,form_version,domain_code,domain_name,subarea_code,format,cognitive_level,scenario_id,scenario_order,scenario_text,exhibit_asset,stem,option_a,option_b,option_c,option_d,correct_option,rationale_correct,rationale_a,rationale_b,rationale_c,rationale_d,source_ref,study_guide_slug,shuffle_options,calculator_needed,status,author,reviewed_by,last_updated
60,D3-08,DIAG-1.0,3,Communication and Interaction,3.12 Sensitive or complex political situation management,single,analysis,,,,,A reporter calls a staff planner at home about a controversial rezoning that the planning commission will hear next week. The most appropriate response is to:,Decline to comment on anything and refer the reporter to the city attorney,"Share the planner's personal opinion about the merits, clearly labeled as personal","Provide factual information about the application, the process, and the schedule, and refer questions about the council's position to elected officials","Provide the staff recommendation before it is released to the commission, to get ahead of the story",C,"Planners have an obligation to provide timely, clear, and accurate information about the process and the facts. Characterizing elected officials' positions is not the staff planner's role.",Blanket refusal to explain a public process disserves the public and the profession.,Personal opinion from staff on a pending quasi-judicial matter undermines the process.,"Planners have an obligation to provide timely, clear, and accurate information about the process and the facts. Characterizing elected officials' positions is not the staff planner's role.",Releasing a recommendation to the press before the decision-making body receives it is improper.,APA Content Outline 3.12; AICP Code Principle A (public information),communication/media-relations,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
61,D6-06,DIAG-1.0,6,Administration and Management,6.3 Management of external relationships,roman,application,,,,,"A developer's attorney submits a public records request for all staff communications about a pending application. Which responses are appropriate?

I. Process the request under the applicable public records law and the jurisdiction's established procedure
II. Delete internal drafts and emails that could be misinterpreted before responding
III. Consult the city attorney about any records that may fall within a statutory exemption
IV. Notify the planning director and maintain a log of what was produced",I and III only,"I, III, and IV only","II, III, and IV only","I, II, III, and IV",B,"Records requests are processed under law and established procedure, with legal review of possible exemptions and internal documentation of the response.","Omits internal notification and recordkeeping, which protect both the planner and the agency.","Records requests are processed under law and established procedure, with legal review of possible exemptions and internal documentation of the response.","II describes destruction of public records, which is unlawful and unethical.",II is never appropriate.,APA Content Outline 6.3; transparency and freedom of information,administration/public-records,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
62,D7-06,DIAG-1.0,7,Leadership,7.11 Promoting the value of planning,roman,recall,,,,,"Which activities advance the profession's obligation to increase public understanding of planning and expand opportunity in the field?

I. Teaching a session at a local high school or community college on how land use decisions are made
II. Serving as a reviewer or mentor for students preparing for planning careers
III. Declining to explain technical analysis publicly to avoid misinterpretation
IV. Providing planning assistance to a community organization that cannot afford professional services",I and II only,"I, II, and IV only","II, III, and IV only","I, II, III, and IV",B,"Public education, mentorship of new entrants, and pro bono assistance all serve the profession's stated responsibilities. Withholding explanation does the opposite.","Omits pro bono service, explicitly encouraged by the profession.","Public education, mentorship of new entrants, and pro bono assistance all serve the profession's stated responsibilities. Withholding explanation does the opposite.",III conflicts with the duty to increase public understanding.,III is not a professional obligation.,"AICP Code Principle C; APA Content Outline 7.11, 7.12",leadership/professional-service,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
63,D2-07,DIAG-1.0,2,Fundamental Planning Knowledge,2.4 Planning theory,single,recall,,,,,Paul Davidoff's contribution to planning theory is most closely associated with the argument that:,Planners should act as neutral technicians presenting a single public interest,Cities are best understood as self-regulating ecological systems,Land use outcomes are determined primarily by growth coalitions of property interests,Planners should openly represent the interests of underrepresented groups and present competing plural plans,D,"Advocacy and Pluralism in Planning argued that there is no single public interest and that planners should represent particular client groups, with competing plans tested in an adversarial process.",Davidoff rejected the neutral-technician model.,That is the Chicago School human ecology tradition.,That is Molotch's growth machine thesis.,"Advocacy and Pluralism in Planning argued that there is no single public interest and that planners should represent particular client groups, with competing plans tested in an adversarial process.","Davidoff, Advocacy and Pluralism in Planning (1965)",theory/advocacy-planning,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
64,D8-07,DIAG-1.0,8,Areas of Practice,"8.12 Parks, recreation, and open space",negative,recall,,,,,All of the following are appropriately addressed in a parks and open space element EXCEPT:,Level of service standards and the distribution of park acreage relative to population,Walkability and equity of access to parks across neighborhoods,Curriculum standards for physical education in public schools,Conservation of natural systems and habitat within the open space network,C,"School curriculum is outside the planning function. Level of service, access equity, and natural systems conservation are standard content in a parks and open space element.",LOS and distribution are core parks planning content.,Equitable access is central to contemporary parks planning.,"School curriculum is outside the planning function. Level of service, access equity, and natural systems conservation are standard content in a parks and open space element.",Conservation and habitat viability are standard open space subjects.,APA Content Outline 8.12,parks/parks-element,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
65,D4-07,DIAG-1.0,4,Plan and Policy Development,4.9 Applying innovations and best practices,negative,recall,,,,,All of the following are typical components of a form-based code EXCEPT:,"A use table listing permitted, conditional, and prohibited uses as the primary regulatory device",A regulating plan assigning standards to specific blocks and street frontages,"Building form standards addressing height, placement, and frontage type",Public space and thoroughfare standards,A,"Form-based codes regulate primarily through physical form and the relationship of buildings to the public realm. Use is addressed but is deliberately secondary, unlike conventional Euclidean codes organized around a use table.","Form-based codes regulate primarily through physical form and the relationship of buildings to the public realm. Use is addressed but is deliberately secondary, unlike conventional Euclidean codes organized around a use table.",The regulating plan is the organizing map of a form-based code.,Building form standards are the core substantive content.,Thoroughfare and public space standards are standard components.,Form-based code components,urban-design/form-based-codes,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
66,D1-10,DIAG-1.0,1,Research and Assessment Methods,1.1 Conducting research and acquiring knowledge,roman,analysis,,,,,"Which practices reduce the effect of implicit bias in a community data collection effort?

I. Pre-testing survey instruments with members of the populations being studied
II. Relying on a single trusted neighborhood leader to characterize community needs
III. Disaggregating results by race, income, and tenure rather than reporting only citywide averages
IV. Documenting who was not reached and why",I and III only,"I, III, and IV only","II, III, and IV only","I, II, III, and IV",B,"Pre-testing, disaggregation, and documenting non-response all surface bias rather than averaging it away.","Omits documentation of gaps, which is essential to honest reporting.","Pre-testing, disaggregation, and documenting non-response all surface bias rather than averaging it away.",II substitutes one person's perspective for the community's and introduces a new bias.,II is not a debiasing practice.,"APA Content Outline 1.1, 1.5 (recognizing implicit bias)",research-methods/implicit-bias,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
67,D5-10,DIAG-1.0,5,Plan Implementation,5.2 Aligning and activating funding and financing,roman,application,,,,,"A city is adopting impact fees for parks. Which conditions must generally be satisfied for the program to be defensible?

I. The fee is supported by a study establishing the need created by new development
II. Revenues are spent on facilities that benefit the fee-paying development, within a defined time and area
III. The fee is calculated to remedy existing deficiencies caused by prior development
IV. Fees are accounted for separately rather than deposited in the general fund",I and II only,"II, III, and IV only","I, II, III, and IV","I, II, and IV only",D,"Impact fees must be tied by study to the need new development creates, spent to benefit the payers within a defined time and service area, and segregated in accounting. Existing deficiencies must be funded from other sources.","Omits the accounting requirement, which is a common statutory condition.",III describes what impact fees may not do.,III is incorrect; charging new development to cure existing deficits fails proportionality.,"Impact fees must be tied by study to the need new development creates, spent to benefit the payers within a defined time and service area, and segregated in accounting. Existing deficiencies must be funded from other sources.",Impact fee standards; rational nexus and proportionality,finance/impact-fees,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
68,D9-07,DIAG-1.0,9,AICP Code of Ethics and Professional Conduct,9.3 Responsibility to the profession and colleagues,single,application,,,,,"A consultant's qualifications package states that the firm 'prepared' a regional plan, when in fact the firm served as a subconsultant responsible for one chapter. This most directly implicates the Code's requirements regarding:",Confidential information,Accurate representation of professional qualifications and experience when seeking work,Conflicts of interest with a public employer,Participation in continuing professional education,B,The Code prohibits seeking work through false or misleading claims about qualifications or experience. Overstating the firm's role in a prior project is exactly that.,No confidential information is disclosed on these facts.,The Code prohibits seeking work through false or misleading claims about qualifications or experience. Overstating the firm's role in a prior project is exactly that.,No public employment relationship is described.,Certification maintenance is unrelated to marketing claims.,"AICP Code of Ethics and Professional Conduct (2022), Rules of Conduct",ethics/qualifications-claims,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
69,D3-09,DIAG-1.0,3,Communication and Interaction,3.8 Role of organizational structures and functions,roman,recall,,,,,"Which statements accurately describe the role of a planning commission in a typical U.S. municipality?

I. It is usually an appointed body rather than an elected one
II. It typically makes recommendations to the governing body on plan adoption and rezonings
III. It may hold delegated final decision authority over certain applications, depending on state and local law
IV. It is responsible for the day-to-day supervision of planning department staff",I and II only,"II, III, and IV only","I, II, III, and IV","I, II, and III only",D,"Planning commissions are appointed advisory bodies that recommend on plans and rezonings, and in many jurisdictions hold final authority over specified applications such as site plans or subdivisions. Staff supervision rests with the administration.","Omits delegated final authority, which is common for site plan and subdivision review.",IV describes an administrative function that commissions do not perform.,IV is incorrect.,"Planning commissions are appointed advisory bodies that recommend on plans and rezonings, and in many jurisdictions hold final authority over specified applications such as site plans or subdivisions. Staff supervision rests with the administration.",APA Content Outline 3.8,administration/planning-commission,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
70,D6-07,DIAG-1.0,6,Administration and Management,6.2 Internal organizational management,roman,analysis,,,,,"A planning director is restructuring a department where current planning and long-range planning staff rarely coordinate, producing code amendments that conflict with adopted plans. Which changes address the underlying problem?

I. Assigning a long-range planner to review every proposed code amendment for plan consistency
II. Creating a standing cross-division project team with a shared work plan
III. Reducing the number of staff meetings to free up production time
IV. Establishing a shared set of performance measures tied to plan implementation rather than division outputs",I and II only,"II, III, and IV only","I, II, and IV only","I, II, III, and IV",C,"A consistency check, structural cross-division collaboration, and measures that reward shared outcomes all attack the coordination failure. Fewer meetings would worsen it.","Omits the measurement change, which is what sustains the new behavior.",III removes coordination opportunities in a department that lacks them.,"A consistency check, structural cross-division collaboration, and measures that reward shared outcomes all attack the coordination failure. Fewer meetings would worsen it.",III is counterproductive here.,APA Content Outline 6.2,administration/organizational-structure,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
71,D7-07,DIAG-1.0,7,Leadership,7.6 A planner's comprehensive approach to complex problems,roman,analysis,,,,,"A city must choose among four capital projects with a fixed budget and competing constituencies. Which approaches reflect a planner's comprehensive method for helping a community prioritize?

I. Evaluating each project against the adopted plan's goals using a consistent, published set of criteria
II. Making explicit the trade-offs and who bears them, rather than presenting a single ranked list without reasoning
III. Selecting the project with the strongest turnout at the public hearing
IV. Testing how each project performs under different budget and demand assumptions",I and II only,"II, III, and IV only","I, II, and IV only","I, II, III, and IV",C,"Consistent published criteria, transparent trade-offs and incidence, and sensitivity testing give a community a defensible basis for choosing. Hearing turnout measures mobilization.","Omits sensitivity testing, which matters when budgets are uncertain.",III replaces analysis with attendance.,"Consistent published criteria, transparent trade-offs and incidence, and sensitivity testing give a community a defensible basis for choosing. Hearing turnout measures mobilization.",III is not a comprehensive method.,APA Content Outline 7.6,leadership/prioritization,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
72,D2-08,DIAG-1.0,2,Fundamental Planning Knowledge,2.2 Patterns of human settlement,single,analysis,,,,,"A planner reviewing 1930s Home Owners' Loan Corporation appraisal maps finds that neighborhoods graded 'hazardous' correspond closely to present-day areas with lower tree canopy, higher heat exposure, and lower homeownership. The most defensible conclusion is that:",Discriminatory lending and appraisal practices shaped long-term patterns of disinvestment whose physical effects persist,"The correlation is coincidental, since the maps had no operative effect","The graded areas were of lower environmental quality before grading, which is why they were graded that way",Present-day conditions are entirely attributable to individual household decisions,A,"Redlining channeled credit and public and private investment away from graded neighborhoods for decades. The durable physical consequences, including infrastructure and canopy deficits, are a well-documented legacy that planners are expected to identify and address.","Redlining channeled credit and public and private investment away from graded neighborhoods for decades. The durable physical consequences, including infrastructure and canopy deficits, are a well-documented legacy that planners are expected to identify and address.",The maps were tied to real lending and insurance practice and had substantial operative effect.,This inverts cause and effect and cannot explain the sustained divergence after grading.,Attributing structural outcomes solely to individual choice ignores the documented policy mechanism.,APA Content Outline 2.2 (effects of discrimination); HOLC residential security maps,history/redlining,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
73,D8-08,DIAG-1.0,8,Areas of Practice,8.3 Current planning,calculation,application,,,,,A 20-acre site will yield 200 dwelling units. Fifteen percent of the site is required for public rights-of-way and another 10 percent for required open space. What is the approximate net residential density?,10 units per acre,11.8 units per acre,13.3 units per acre,20 units per acre,C,Net density excludes rights-of-way and required open space: 20 x (1 - 0.25) = 15 net acres. 200 / 15 = 13.3 units per acre.,"This is gross density, 200 units over the full 20 acres.",This deducts only one of the two required set-asides.,Net density excludes rights-of-way and required open space: 20 x (1 - 0.25) = 15 net acres. 200 / 15 = 13.3 units per acre.,"This corresponds to 10 net acres, deducting half the site.",Gross vs net density,zoning/density-calculations,TRUE,TRUE,review,All Aboard Planning,,2026-09-14
74,D4-08,DIAG-1.0,4,Plan and Policy Development,4.6 Objectives and actions within an equity framework,roman,application,,,,,"A city is adding an equity framework to its plan update. Which approaches operationalize that framework rather than merely stating it?

I. Establishing baseline indicators disaggregated by race, income, and geography, with targets
II. Adding a values statement about equity to the plan's introduction
III. Applying an equity screen to each proposed capital project before it enters the CIP
IV. Assigning responsibility and a reporting schedule for each equity-related action",I and III only,"I, III, and IV only","II, III, and IV only","I, II, III, and IV",B,"Measurable baselines and targets, a decision screen applied to real investments, and assigned accountability change outcomes. A values statement alone does not.","Omits accountability assignment, without which actions drift.","Measurable baselines and targets, a decision screen applied to real investments, and assigned accountability change outcomes. A values statement alone does not.",II is the one element that does not operationalize anything.,II is declarative rather than operational.,"APA Content Outline 4.6, 4.13",equity/operationalizing-equity,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
75,D1-11,DIAG-1.0,1,Research and Assessment Methods,1.1 Conducting research and acquiring knowledge,single,recall,,,,,The cohort-component method of population projection differs from a simple trend extrapolation primarily because it:,Produces a single deterministic figure rather than a range,Requires no assumptions about future conditions,Can only be applied at the state level or above,"Applies separate rates of fertility, mortality, and migration to each age-sex group",D,"Cohort-component disaggregates the population by age and sex and ages each cohort forward using specific fertility, mortality, and migration assumptions, which is why it can describe changing age structure.",Trend extrapolation is the method that yields a single line; cohort-component is typically run under multiple assumption sets.,"It requires more explicit assumptions, not fewer.",It is regularly applied to counties and municipalities where the component data exist.,"Cohort-component disaggregates the population by age and sex and ages each cohort forward using specific fertility, mortality, and migration assumptions, which is why it can describe changing age structure.",Demographic analysis; cohort-component projection,research-methods/population-projection,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
76,D5-11,DIAG-1.0,5,Plan Implementation,"5.7 Monitoring, evaluating, and updating plans",roman,application,,,,,"A city is designing an annual monitoring report for its comprehensive plan. Which characteristics make the report useful for decision-making?

I. Indicators tied directly to adopted plan objectives with baselines and targets
II. Data reported at a geography fine enough to reveal differences among neighborhoods
III. A narrative describing staff activity levels during the year
IV. Identification of objectives that are off track, with a recommended course correction","I, II, and IV only",I and IV only,"II, III, and IV only","I, II, III, and IV",A,"Objective-linked indicators, disaggregated geography, and explicit identification of off-track items with recommendations make a monitoring report actionable. Activity narratives measure effort, not results.","Objective-linked indicators, disaggregated geography, and explicit identification of off-track items with recommendations make a monitoring report actionable. Activity narratives measure effort, not results.","Omits disaggregation, without which citywide averages mask divergence.",III is an output measure that does not indicate plan performance.,III adds length without decision value.,APA Content Outline 5.7,implementation/monitoring,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
77,D9-08,DIAG-1.0,9,AICP Code of Ethics and Professional Conduct,9.4 Upholding the rules of conduct,roman,recall,,,,,"Which of the following are addressed by the Rules of Conduct in the AICP Code?

I. Not accepting, as a public official or employee, compensation from anyone other than the public employer that may be perceived as related to the public office
II. Not disclosing or improperly using information acquired in the course of professional duties
III. Not performing work beyond one's professional competence
IV. Not holding membership in a political party while employed as a public planner",I and II only,"II, III, and IV only","I, II, and III only","I, II, III, and IV",C,"Outside compensation, misuse of confidential information, and competence limits are all subjects of the Rules of Conduct. The Code does not restrict political party membership.","Omits the competence requirement, which is a rule rather than merely aspirational.",IV is not in the Code and would raise constitutional problems.,"Outside compensation, misuse of confidential information, and competence limits are all subjects of the Rules of Conduct. The Code does not restrict political party membership.",IV is not a rule of conduct.,"AICP Code of Ethics and Professional Conduct (2022), Rules of Conduct",ethics/rules-of-conduct,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
78,D3-10,DIAG-1.0,3,Communication and Interaction,"3.3 Listening, comprehension, and reflection of needs",roman,application,,,,,"At a workshop, residents repeatedly describe flooding in their alleys, though the project scope covers only street resurfacing. Which responses are professionally appropriate?

I. Record the drainage concerns accurately in the engagement summary even though they are outside scope
II. Redirect the conversation and decline to document off-scope comments
III. Transmit the concerns to the public works department and tell residents where the issue will be handled
IV. Reassess whether the project scope was drawn correctly given what residents identify as the priority","I, III, and IV only",I and III only,II and III only,"I, II, III, and IV",A,"Accurate compilation of what was heard, routing it to the responsible agency with a clear explanation to residents, and questioning whether the scope matched community need are all part of listening and reflecting needs back into the process.","Accurate compilation of what was heard, routing it to the responsible agency with a clear explanation to residents, and questioning whether the scope matched community need are all part of listening and reflecting needs back into the process.","Omits the scope reassessment, which is the substantive response to a consistent signal.",II suppresses information the public provided.,II is inconsistent with the obligation to compile input accurately.,APA Content Outline 3.3,engagement/listening-and-scope,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
79,D6-08,DIAG-1.0,6,Administration and Management,6.4 Mentoring and motivating staff,single,application,,,,,"A junior planner's staff reports are technically sound but consistently miss deadlines, delaying agenda packets. The most effective supervisory response is to:",Reassign the reports to a senior planner to protect the schedule,Note the pattern in the annual performance review,Send a department-wide reminder about deadlines,"Meet with the planner to identify the specific cause of the delays, set clear interim milestones, and follow up on a defined schedule",D,"Effective supervision diagnoses the specific cause, sets concrete expectations, and provides timely follow-up rather than deferring feedback or working around the employee.",Reassignment protects one agenda cycle and removes the opportunity for the planner to improve.,Annual review feedback arrives long after it could change behavior.,A general reminder does not address an individual performance issue and dilutes accountability.,"Effective supervision diagnoses the specific cause, sets concrete expectations, and provides timely follow-up rather than deferring feedback or working around the employee.",APA Content Outline 6.4,administration/supervision,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
80,D7-08,DIAG-1.0,7,Leadership,7.10 Professional development expectations and standards,single,recall,,,,,Maintaining AICP certification requires certified planners to:,Retake the certification examination at fixed intervals,Hold a degree from an accredited planning program,Serve on a local board or commission during each reporting period,"Complete continuing professional education on a recurring reporting cycle, including credits in ethics and in law",D,"Certification maintenance is based on continuing professional education within recurring reporting periods, with required credits in professional ethics and planning law.",Re-examination is not part of certification maintenance.,"Accredited-degree holders have a different experience requirement for initial eligibility, but no degree is required to maintain certification.",Board service is encouraged but not a maintenance requirement.,"Certification maintenance is based on continuing professional education within recurring reporting periods, with required credits in professional ethics and planning law.",AICP Certification Maintenance requirements,aicp/certification-maintenance,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
81,D2-09,DIAG-1.0,2,Fundamental Planning Knowledge,2.1 History of planning and planning movements,ordering,recall,,,,,"Place the following in chronological order, from earliest to most recent:

I. Publication of Ebenezer Howard's garden city proposal
II. Circulation of the Standard State Zoning Enabling Act
III. Passage of the Housing Act that funded urban renewal
IV. Enactment of the National Environmental Policy Act","II, I, III, IV","I, II, III, IV","I, III, II, IV","II, III, I, IV",B,"Howard's garden city proposal dates to the late 1890s, the SZEA to the 1920s, the urban renewal housing act to 1949, and NEPA to 1969 with effect in 1970.",The garden city proposal preceded the zoning enabling act by roughly a quarter century.,"Howard's garden city proposal dates to the late 1890s, the SZEA to the 1920s, the urban renewal housing act to 1949, and NEPA to 1969 with effect in 1970.",Zoning enabling legislation preceded the urban renewal program.,Both II and III postdate the garden city proposal.,Planning history chronology,history/timeline,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
82,D8-09,DIAG-1.0,8,Areas of Practice,8.11 Housing planning,exhibit,analysis,,,,"| Income band (% of AMI) | Households | Units affordable and available |
|---|---|---|
| Below 30% | 4,200 | 1,100 |
| 30-50% | 3,800 | 2,400 |
| 50-80% | 5,100 | 6,000 |
| 80-120% | 6,300 | 8,200 |",Which conclusion is best supported by the table?,The jurisdiction has an overall housing shortage across all income levels,New market-rate construction will close the gap in the below-30-percent band within the planning horizon,The data show that households are choosing to live in units below their affordability level,"The shortage is concentrated among the lowest-income households, while surpluses at higher bands are not reaching them",D,"Deficits appear only in the two lowest bands, with the largest in the below-30-percent band, while the upper bands show surpluses. Supply above does not translate into affordability below without subsidy.","Total units exceed total households; the problem is distribution by price, not aggregate count.","The table offers no evidence about future construction, and market-rate units rarely reach the deepest bands without subsidy.","The table does not report who occupies which units, so this cannot be inferred.","Deficits appear only in the two lowest bands, with the largest in the below-30-percent band, while the upper bands show surpluses. Supply above does not translate into affordability below without subsidy.",Housing needs assessment; affordable and available units,housing/needs-assessment,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
83,D4-09,DIAG-1.0,4,Plan and Policy Development,"4.8 Mediation, negotiation, facilitation",single,application,,,,,"In a negotiation between a neighborhood group demanding no new traffic and a developer demanding maximum density, the interest-based approach would begin by:",Splitting the difference between the two stated positions,Referring the dispute to the governing body for a binding vote,"Identifying the underlying interests behind each position, such as child safety and project feasibility, and searching for options that serve both",Asking each party to submit a final offer for arbitration,C,"Interest-based negotiation separates stated positions from underlying interests, because positions are usually incompatible while interests often are not.",Splitting positions produces an outcome neither party's interests support.,Referral abandons the negotiation before it begins.,"Interest-based negotiation separates stated positions from underlying interests, because positions are usually incompatible while interests often are not.",Final-offer arbitration hardens positions rather than surfacing interests.,APA Content Outline 4.8; interest-based negotiation,engagement/interest-based-negotiation,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
84,D5-12,DIAG-1.0,5,Plan Implementation,5.4 Developing strategic partnerships,roman,analysis,,,,,"A plan's signature project depends on actions by a transit agency, a school district, and a private utility, none of which report to the city. Which steps most improve the odds of implementation?

I. Securing a memorandum of understanding that states each party's commitments and schedule
II. Identifying what each partner needs from the project so their participation serves their own objectives
III. Including the project in the plan's action table without further coordination, since adoption creates obligation
IV. Aligning the project's schedule with the partners' capital budgeting cycles",I and II only,"I, II, and IV only","II, III, and IV only","I, II, III, and IV",B,"Independent partners act on their own authority and budgets. Written commitments, mutual benefit, and schedule alignment with their capital cycles are what convert an action item into a delivered project.","Omits budget-cycle alignment, the most common practical cause of slippage.","Independent partners act on their own authority and budgets. Written commitments, mutual benefit, and schedule alignment with their capital cycles are what convert an action item into a delivered project.",III assumes an obligation that plan adoption by one jurisdiction does not create.,III is incorrect.,APA Content Outline 5.4,implementation/partnerships,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
85,D9-09,DIAG-1.0,9,AICP Code of Ethics and Professional Conduct,9.1 Overall responsibility to the public,roman,analysis,,,,,"Which of the following are aspirational principles rather than enforceable rules of conduct?

I. Seeking social justice and expanding choice and opportunity for persons who have been disadvantaged
II. Refraining from accepting compensation from a party other than one's public employer in connection with public duties
III. Striving to protect the integrity of the natural environment and the heritage of the built environment
IV. Refraining from disclosing information acquired in confidence in the course of professional duties","I, II, and III only",III and IV only,"I, II, III, and IV",I and III only,D,Aspirational principles state what planners should strive toward and are not enforced through the charge process. Items II and IV are stated as prohibitions and are enforceable rules of conduct.,"II is a rule of conduct, enforceable through the Code's procedures.","I is aspirational and IV is a rule, so this pairing is reversed in part.",Two of the four are enforceable rules.,Aspirational principles state what planners should strive toward and are not enforced through the charge process. Items II and IV are stated as prohibitions and are enforceable rules of conduct.,"AICP Code of Ethics and Professional Conduct (2022), Principles and Rules",ethics/principles-vs-rules,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
86,D3-11,DIAG-1.0,3,Communication and Interaction,3.5 Social justice,roman,analysis,,,,,"A planner is preparing a displacement analysis for a station area plan. Which practices reflect an equity-centered approach?

I. Analyzing outcomes separately for renters and owners rather than for households overall
II. Including anti-displacement measures in the plan alternatives rather than only in an appendix
III. Presenting only aggregate neighborhood-level change, to avoid alarming residents
IV. Engaging existing residents in defining what a successful outcome for them would look like",I and IV only,"I, II, and IV only","II, III, and IV only","I, II, III, and IV",B,"Disaggregation reveals who bears the burden, building anti-displacement measures into the alternatives makes them real choices, and letting affected residents define success is the core of equity practice.","Omits carrying the measures into the alternatives, where they affect the decision.","Disaggregation reveals who bears the burden, building anti-displacement measures into the alternatives makes them real choices, and letting affected residents define success is the core of equity practice.",III withholds information from the people most affected.,III is inconsistent with the duty to provide full and accurate information.,APA Content Outline 3.5,equity/displacement-analysis,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
87,D2-10,DIAG-1.0,2,Fundamental Planning Knowledge,2.1 History of planning and planning movements,roman,recall,,,,,"Which are characteristic of the City Beautiful movement?

I. Monumental civic centers and axial boulevards
II. Emphasis on beauty and order as instruments of civic virtue and economic vitality
III. Primary concern with housing code enforcement in tenement districts
IV. Influence of the 1893 World's Columbian Exposition",I and IV only,"II, III, and IV only","I, II, and IV only","I, II, III, and IV",C,"City Beautiful emphasized monumental civic design, axial composition, and the belief that order and beauty would produce civic and commercial benefit, with the Columbian Exposition as its catalyst.",Omits the movement's explicit civic and economic rationale.,Tenement housing reform belongs to the separate housing reform tradition.,"City Beautiful emphasized monumental civic design, axial composition, and the belief that order and beauty would produce civic and commercial benefit, with the Columbian Exposition as its catalyst.","III is associated with housing reformers, not City Beautiful.",Planning history; City Beautiful movement,history/city-beautiful,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
88,D8-10,DIAG-1.0,8,Areas of Practice,8.15 Food planning,roman,application,,,,,"A city is drafting a food systems element. Which are appropriate subjects for the element?

I. Zoning treatment of urban agriculture, community gardens, and accessory livestock
II. Access to full-service grocery retail in underserved neighborhoods
III. Management of organic waste and composting infrastructure
IV. Setting retail prices for staple groceries","I, II, and III only",I and II only,"II, III, and IV only","I, II, III, and IV",A,"Land use treatment of food production, retail access, and food waste infrastructure are all within municipal planning authority. Price setting is not.","Land use treatment of food production, retail access, and food waste infrastructure are all within municipal planning authority. Price setting is not.","Omits food waste, an increasingly standard component.",IV is outside municipal authority and outside the planning function.,IV is not an appropriate subject.,APA Content Outline 8.15,food-systems/food-element,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
89,D4-10,DIAG-1.0,4,Plan and Policy Development,4.11 Funding and financing considerations,roman,application,,,,,"A city is identifying revenue tools for streetscape improvements along a commercial corridor. Which tools place the cost primarily on properties that benefit from the improvement?

I. Special assessment district
II. Tax increment financing district
III. General obligation bond repaid from citywide property taxes
IV. Business improvement district assessment",I and IV only,II and III only,"I, II, III, and IV","I, II, and IV only",D,"Special assessments and BID assessments are levied on benefited properties directly, and TIF captures the incremental value created within the district. A general obligation bond spreads cost across all taxpayers.","Omits TIF, which also draws on value within the district.",III is the tool that does not concentrate cost on beneficiaries.,III spreads the burden citywide.,"Special assessments and BID assessments are levied on benefited properties directly, and TIF captures the incremental value created within the district. A general obligation bond spreads cost across all taxpayers.",APA Content Outline 4.11; municipal finance tools,finance/value-capture,FALSE,FALSE,review,All Aboard Planning,,2026-09-14
90,D3-12,DIAG-1.0,3,Communication and Interaction,3.4 Leadership and influencing decision-making,single,analysis,,,,,A council member asks a planner to remove a finding from a staff report because it will complicate a vote. The planner should:,"Remove the finding, since the council sets policy and the report serves the council",Retain the finding and publicly accuse the council member of interference,"Retain the finding and present it accurately, while working with the council member to explain its significance and the available options",Withdraw the staff report entirely until after the vote,C,"The planner's obligation is full, clear, and accurate information to decision-makers and the public. That duty is satisfied by keeping the finding while helping the decision-maker understand and respond to it.",Deleting an accurate finding to ease a vote misrepresents the analysis.,Public accusation is neither required nor an effective first response.,"The planner's obligation is full, clear, and accurate information to decision-makers and the public. That duty is satisfied by keeping the finding while helping the decision-maker understand and respond to it.",Withholding the report deprives the body of the analysis it needs.,APA Content Outline 3.4; AICP Code Principle A,leadership/political-pressure,TRUE,FALSE,review,All Aboard Planning,,2026-09-14
